#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCNEPOTISM202;[appointer.GetCOTCShortName] has decided to appoint [nominee.GetCOTCName] as your successor.;;;;;;;;;;;;;x
EVTDESCNEPOTISM203;[appointer.GetCOTCShortName] has betrayed [appointer.GetHerHis] promise to you and decided to appoint [nominee.GetCOTCName] as [current_holder.GetCOTCShortName]'s successor.;;;;;;;;;;;;;x
EVTOPTANEPOTISM203;Damn you, [appointer.GetCOTCVeryShortName], you gave me your word!;;;;;;;;;;;;;x
EVTDESCNEPOTISM204;[appointer.GetCOTCShortName] has betrayed [appointer.GetHerHis] promise to you and decided to appoint [nominee.GetCOTCName] as [current_holder.GetCOTCShortName]'s successor, rather than your [current_successor.GetRootRelation] [current_successor.GetFirstName].;;;;;;;;;;;;;x
EVTOPTANEPOTISM204;Damn you, [appointer.GetCOTCVeryShortName], you gave me your word!;;;;;;;;;;;;;x
EVTDESCNEPOTISM205;TO: [Root.GetCOTCName]\nFROM: [From.GetCOTCName]\nRE:Future appointments to office\nIt has come to my attention that you are seeking a replacement for [current_holder.GetCOTCShortName] in the event of [current_holder.GetHerHis] eventual retirement. I believe that [nominee.GetCOTCName] would be a fine successor, and would like to formally recommend them for the post.[From.GetFavorStatus];;;;;;;;;;;;;x
EVTTOOLTIPNEPOTISM206;will be pleased.;;;;;;;;;;;;;x
EVTDESCNEPOTISM206;TO: [Root.GetCOTCName]\nFROM: [From.GetCOTCName]\nRE:Future appointments to office\nAt the recommendation of [patron.GetCOTCName], I have chosen to appoint you as [current_holder.GetCOTCShortName] in the event of [current_holder.GetHerHis] death or retirement.;;;;;;;;;;;;;x
EVTOPTANEPOTISM206;Thank you, [patron.GetRootRelation].;;;;;;;;;;;;;x
EVTTOOLTIPNEPOTISM207;will be pleased.;;;;;;;;;;;;;x
EVTDESCNEPOTISM207;TO: [Root.GetCOTCName]\nFROM: [From.GetCOTCName]\nRE:Future appointments to office\nAfter due consideration, I have chosen to accept your recommendation. [nominee.GetCOTCShortName] will succeed [current_holder.GetCOTCShortName] in the event of [current_holder.GetHerHis] death or retirement.;;;;;;;;;;;;;x
EVTOPTANEPOTISM207;Securing a future for the [Root.GetOnlyDynastyName] family name.;;;;;;;;;;;;;x
EVTDESCNEPOTISM208;At the recommendation of [patron.GetCOTCName], [appointer.GetCOTCShortName] has decided to appoint [nominee.GetCOTCName] as your successor.;;;;;;;;;;;;;x
EVTDESCNEPOTISM209;[appointer.GetCOTCShortName] has betrayed [appointer.GetHerHis] promise to you and decided to appoint [nominee.GetCOTCName] as [current_holder.GetCOTCShortName]'s successor. Your sources are certain that [patron.GetCOTCName] is behind this.;;;;;;;;;;;;;x
EVTOPTANEPOTISM209;Damn you, [appointer.GetCOTCVeryShortName], you gave me your word!;;;;;;;;;;;;;x
EVTDESCNEPOTISM210;[appointer.GetCOTCShortName] has betrayed [appointer.GetHerHis] promise to you and decided to appoint [nominee.GetCOTCName] as [current_holder.GetCOTCShortName]'s successor, rather than your [current_successor.GetRootRelation] [current_successor.GetFirstName]. Your sources are certain that [patron.GetCOTCName] is behind this.;;;;;;;;;;;;;x
EVTOPTANEPOTISM210;Damn you, [appointer.GetCOTCVeryShortName], you gave me your word!;;;;;;;;;;;;;x
EVTTOOLTIPNEPOTISM211;will be disappointed.;;;;;;;;;;;;;x
EVTDESCNEPOTISM211;Your [patron.GetRootRelation] [patron.GetCOTCName] attempted to convince [appointer.GetCOTCShortName] to appoint you as [current_holder.GetCOTCShortName]'s successor, but was unsuccessful.;;;;;;;;;;;;;x
EVTTOOLTIPNEPOTISM212;will be disappointed.;;;;;;;;;;;;;x
EVTDESCNEPOTISM212;TO: [Root.GetCOTCName]\nFROM: [From.GetCOTCName]\nRE:Future appointments to office\nRegretably, while your advice is appreciated, I do not believe [nominee.GetCOTCShortName] is qualified for the position.;;;;;;;;;;;;;x
EVTOPTANEPOTISM212;A disappointing result.;;;;;;;;;;;;;x
EVTDESCNEPOTISM213;[patron.GetCOTCName] asked [appointer.GetCOTCName] to appoint [event_target.nominee.GetCOTCName] as your successor, but was refused.;;;;;;;;;;;;;x
EVTDESCNEPOTISM214;[patron.GetCOTCName] asked [appointer.GetCOTCName] to appoint [event_target.nominee.GetCOTCName] as [current_holder.GetCOTCName]'s successor, but was refused.;;;;;;;;;;;;;x
EVTDESCNEPOTISM215;[patron.GetCOTCName] asked [appointer.GetCOTCName] to appoint [event_target.nominee.GetCOTCName] as [current_holder.GetCOTCName]'s successor instead of your [current_successor.GetRootRelation] [current_successor.GetFirstName], but was refused.;;;;;;;;;;;;;x
fire_vassal_decision;Demand Resignation;;;;;;;;;;;;;x
fire_vassal_decision_desc;As [From.GetTitle], you have the authority to demand [Root.GetFullName]'s resignation from [Root.GetHerHis] appointed offices. This authority cannot be used entirely freely - there is an associated cost in political capital - but as it is within your lawful authority, it will not anger of your other subordinates.;;;;;;;;;;;;;x
EVTTOOLTIPNEPOTISM300;will either forfeit [This.GetHerHis] appointed titles or rebel.;;;;;;;;;;;;;x
EVTDESCNEPOTISM300;TO: [Root.GetTitle] [Root.GetFullName]\nFROM: [Root.Liege.GetTitle] [Root.Liege.GetFullName]\nRE: Resignation\nYour most recent string of failures are the end of the line. Effective immediately, you are removed from command.;;;;;;;;;;;;;x
FORFEITAPPOINTEDTITLES;All of your appointed titles will be granted to your Expected Successor.;;;;;;;;;;;;;x
EVTDESCNEPOTISM301;TO: [Root.GetTitle] [Root.GetFullName]\nFROM: [From.GetTitle] [From.GetFullName]\nRE: Resignation\nI hereby acknowledge your orders and surrender command of all appointed titles.;;;;;;;;;;;;;x
